gameNumber,player1_id,player2_id,score1,score2,date,eventName,player1Faction,player2Faction
1,0587,0588,85,55,2024-05-03,"Warhammer 40,000 Championship: Monthly Tournament - 2024 Season",Necrons,Grey Knights
1,0020,0023,20,18,2024-05-03,"Warhammer 40,000 Championship: Monthly Tournament - 2024 Season",Astra Militarum,Necrons
1,0256,0027,42,20,2024-05-03,"Warhammer 40,000 Championship: Monthly Tournament - 2024 Season",Adepta Sororitas,Orks
1,0026,0589,58,55,2024-05-03,"Warhammer 40,000 Championship: Monthly Tournament - 2024 Season",Chaos Knights,Tyranids
1,0591,0590,68,30,2024-05-03,"Warhammer 40,000 Championship: Monthly Tournament - 2024 Season",T'au Empire,Black Templars
1,0258,0592,19,9,2024-05-03,"Warhammer 40,000 Championship: Monthly Tournament - 2024 Season",Space Marines (Astartes),Necrons
1,0192,0191,39,23,2024-05-03,"Warhammer 40,000 Championship: Monthly Tournament - 2024 Season",Space Wolves,Necrons
2,0587,0591,85,75,2024-05-03,"Warhammer 40,000 Championship: Monthly Tournament - 2024 Season",Necrons,T'au Empire
2,0593,0026,65,58,2024-05-03,"Warhammer 40,000 Championship: Monthly Tournament - 2024 Season",Death Guard,Chaos Knights
2,0256,0192,90,23,2024-05-03,"Warhammer 40,000 Championship: Monthly Tournament - 2024 Season",Adepta Sororitas,Space Wolves
2,0020,0258,44,23,2024-05-03,"Warhammer 40,000 Championship: Monthly Tournament - 2024 Season",Astra Militarum,Space Marines (Astartes)
2,0589,0588,90,68,2024-05-03,"Warhammer 40,000 Championship: Monthly Tournament - 2024 Season",Tyranids,Grey Knights
2,0191,0590,40,39,2024-05-03,"Warhammer 40,000 Championship: Monthly Tournament - 2024 Season",Necrons,Black Templars
2,0023,0027,54,32,2024-05-03,"Warhammer 40,000 Championship: Monthly Tournament - 2024 Season",Necrons,Orks
3,0587,0256,68,63,2024-05-03,"Warhammer 40,000 Championship: Monthly Tournament - 2024 Season",Necrons,Adepta Sororitas
3,0020,0593,45,35,2024-05-03,"Warhammer 40,000 Championship: Monthly Tournament - 2024 Season",Astra Militarum,Death Guard
3,0591,0589,85,60,2024-05-03,"Warhammer 40,000 Championship: Monthly Tournament - 2024 Season",T'au Empire,Tyranids
3,0026,0023,39,20,2024-05-03,"Warhammer 40,000 Championship: Monthly Tournament - 2024 Season",Chaos Knights,Necrons
3,0191,0592,62,34,2024-05-03,"Warhammer 40,000 Championship: Monthly Tournament - 2024 Season",Necrons,Necrons
3,0258,0192,66,43,2024-05-03,"Warhammer 40,000 Championship: Monthly Tournament - 2024 Season",Space Marines (Astartes),Space Wolves
3,0588,0590,66,54,2024-05-03,"Warhammer 40,000 Championship: Monthly Tournament - 2024 Season",Grey Knights,Black Templars
1,0308,0449,35,30,2024-05-11,Grim Series 4,Adeptus Mechanicus,Thousand Sons
1,0595,0284,90,50,2024-05-11,Grim Series 4,Chaos Daemons,Blood Angels
1,0430,0054,87,28,2024-05-11,Grim Series 4,Grey Knights,Drukhari
1,0435,0442,76,74,2024-05-11,Grim Series 4,Necrons,Adeptus Custodes
1,0596,0445,41,24,2024-05-11,Grim Series 4,Orks,Orks
1,0051,0493,86,47,2024-05-11,Grim Series 4,Thousand Sons,Orks
1,0441,0448,40,31,2024-05-11,Grim Series 4,Black Templars,Blood Angels
1,0229,0447,52,33,2024-05-11,Grim Series 4,Astra Militarum,T'au Empire
1,0427,0594,90,30,2024-05-11,Grim Series 4,Adeptus Custodes,Adeptus Mechanicus
2,0447,0448,47,37,2024-05-11,Grim Series 4,T'au Empire,Blood Angels
2,0595,0427,71,70,2024-05-11,Grim Series 4,Chaos Daemons,Adeptus Custodes
