gameNumber,tableNumber,player1team_id,player2team_id,player1_id,player2_id,teamscore1,teamscore2,score1,score2,date,eventName,player1Faction,player2Faction
1,01,019,027,0198,0467,65,35,20,0,2024-03-08,Sydney Teams Open - PSA & Chadmech,Necrons,Salamanders
1,01,019,027,0707,0465,65,35,16,4,2024-03-08,Sydney Teams Open - PSA & Chadmech,Tyranids,Imperial Knights
1,01,019,027,0404,0195,65,35,14,6,2024-03-08,Sydney Teams Open - PSA & Chadmech,Leagues of Votann,Tyranids
1,01,019,027,0705,0027,65,35,7,13,2024-03-08,Sydney Teams Open - PSA & Chadmech,Grey Knights,Drukhari
1,01,019,027,0504,0020,65,35,8,12,2024-03-08,Sydney Teams Open - PSA & Chadmech,Dark Angels,Necrons
1,02,039,049,0800,0089,59,41,12,8,2024-03-08,Sydney Teams Open - PSA & Chadmech,--------,Death Guard
1,02,039,049,0833,0462,59,41,15,5,2024-03-08,Sydney Teams Open - PSA & Chadmech,Aeldari,Imperial Knights
1,02,039,049,0123,0458,59,41,14,6,2024-03-08,Sydney Teams Open - PSA & Chadmech,--------,Chaos Space Marines
1,02,039,049,0087,0126,59,41,10,10,2024-03-08,Sydney Teams Open - PSA & Chadmech,--------,Grey Knights
1,02,039,049,0161,0096,59,41,8,12,2024-03-08,Sydney Teams Open - PSA & Chadmech,--------,Astra Militarum
1,03,038,040,0687,0597,17,83,0,20,2024-03-08,Sydney Teams Open - PSA & Chadmech,Aeldari,Genestealer Cult
1,03,038,040,0110,0843,17,83,11,9,2024-03-08,Sydney Teams Open - PSA & Chadmech,Chaos Daemons,Tyranids
1,03,038,040,0503,0848,17,83,0,20,2024-03-08,Sydney Teams Open - PSA & Chadmech,Leagues of Votann,Space Marines (Astartes)
1,03,038,040,0845,0085,17,83,0,20,2024-03-08,Sydney Teams Open - PSA & Chadmech,Genestealer Cult,Grey Knights
1,03,038,040,0117,0842,17,83,6,14,2024-03-08,Sydney Teams Open - PSA & Chadmech,Hive Fleet Leviathan,Orks
